Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
XZC,Lyra2Z,PoW,7568281.25,21400000.0,-0.14747267668204925,-2.2752318610854205,0.36725579146439885,1,
CFC,PoS,PoS,148716816.0,39999898.0,-0.36654502767973196,1.5402977730900453,-0.11895052047758625,0,
ROYAL,X13,PoS,2500124.0,2500124.0,-0.23973143144275674,1.5016105485784406,-0.3307179346254089,0,
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.39381684727433025,1.8390292489721078,-0.6137177292392514,0,
TEAM,PoS,PoS,17818682.17,301000000.0,-0.3662929242125325,1.540127084307675,-0.11891251984113053,0,
LANA,SHA-256D,PoW/PoS,1082162636.0,7506000000.0,-0.25081268825534425,1.8465434729093093,-0.6067977661223104,0,
ELE,Ethash,PoW,26205539.0,26205539.0,-0.1396268757184735,-2.106381340532967,0.30800016326910573,1,
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.1386304364844258,-2.1480508410881924,0.3082876459480594,1,
ARK,DPoS,DPoS,108202084.0,125000000.0,3.672331308355593,1.8264611216929194,-0.705247968829209,0,
INSANE,X11,PoW/PoS,18342813.0,30000000.0,-0.385152282214607,1.2693837898695073,-0.39279158777247675,0,
KLC,Scrypt,PoW,196297971.0,10000000000.0,-0.09140114404539716,-1.106645815959317,-0.011890446619324485,1,
ATX,X11,PoW,824000000.0,500000000.0,-0.21444002105433188,-0.8923738435860064,0.07633749981576984,1,
EMB,X13,PoW/PoS,92192822723.0,850000000.0,0.866457896953995,1.7640739221605217,-0.5964207917617325,0,
XEN,X11,PoW/PoS,3853326.777,3853326.777,-0.3855150903841411,1.2693904956553623,-0.39278289370768177,0,
FRE,PoS,PoS,50000000.0,50000000.0,-0.3676812418839443,1.5402559505610913,-0.11890662824430336,0,
PLNC,Scrypt,PoW/PoS,17089600.0,38540000.0,-0.32183295196264516,1.0597625019122763,-0.4805293274524676,0,
ARCO,Scrypt,PoW/PoS,2449577.415,42000000.0,-0.32198742170783484,1.0597553799486026,-0.4805229792899231,0,
KURT,X11,PoW,61364813.0,228000000.0,-0.22569720982866304,-0.8925344922488573,0.07670506627984743,1,
XCRE,PoS,PoS,20000000.0,20000000.0,-0.3682610827047816,1.5402586082816463,-0.11889059546591478,0,
ENT,X11,PoW/PoS,6069482.077,60000000.0,-0.3850894008918446,1.2693652144148695,-0.3927884754822414,0,
EUC,SHA-256,PoW/PoS,12416554.0,20000000.0,-0.2993792498889516,0.7915639577756449,-0.3089997689957314,0,
BCF,Scrypt,PoW/PoS,20244023.64,33000000.0,-0.32183370534673417,1.0597662665305208,-0.4805303043296357,0,
XSN,X11,TPoS,75590369.0,76500000.0,-0.39949608422511573,0.9189168106170506,0.028428342047509592,0,
BCCOIN,Scrypt,PoW/PoS,11080722.38,28000000.0,-0.32198125838968483,1.059765141821287,-0.4805257466922662,0,
MONEY,Scrypt,PoW/PoS,10914418.0,650659833.0,-0.3175629972322276,1.059475459031184,-0.48057644200991534,0,
XNG,X11,PoW/PoS,814671.0,5000000.0,-0.3855441097355343,1.269388818113742,-0.39278161103587567,0,
XCI,CryptoNight,PoW,978145.0,21000000.0,0.29760783250229217,-2.29625857778749,0.3421223479438917,1,
RC,Scrypt,PoW/PoS,8377873.0,144000000.0,-0.32119082136814786,1.0597101685544728,-0.4805339810499901,0,
PND,Scrypt,PoS,33813143822.0,32514916898.0,0.34922989860628306,0.8292383748734817,-0.27460131466554005,0,
UNITS,Scrypt,PoW/PoS,3472983.0,13000000.0,-0.322180779031353,1.0597692541868213,-0.4805210781664593,0,
GAKH,Scrypt,PoW/PoS,3315789.0,3315789.0,-0.3222514500758324,1.0597736994509022,-0.4805202173409752,0,
ASAFE2,Quark,PoS,10517772.74,15000000.0,-0.36091889572723657,1.4553828675640712,-0.20845590027019126,0,
